@relation Turma153


@attribute hardskills.API.nota real
@attribute hardskills.API.diferenca_absoluta_media real 
@attribute hardskills.API.gap real
@attribute hardskills.REST.nota real
@attribute hardskills.REST.diferenca_absoluta_media real
@attribute hardskills.REST.gap real
@attribute hardskills.Firebase.nota real
@attribute hardskills.Firebase.diferenca_absoluta_media real
@attribute hardskills.Firebase.gap real
@attribute class_grupo {grupo1, grupo2, grupo3, grupo4}



@data
20.25, -5.52025, 0.994824017, 10.1, -9.61, 1, 43.56, 0.76, 0.283702213, grupo3
28.53, 2.75975, 0.137681159, 14.34, -5.37, 0.782117163, 40, -2.8, 1, grupo1
27.48, 1.70975, 0.246376812, 15.38, -4.33, 0.728674203, 43.86, 1.06, 0.22334004, grupo3
22.06, -3.71025, 0.807453416, 21, 1.29, 0.43987667, 44.64, 1.84, 0.06639839, grupo3
25.71, -0.06025, 0.429606625, 18.64, -1.07, 0.561151079, 42.64, -0.16, 0.468812877, grupo4
25.19, -0.58025, 0.483436853, 17.25, -2.46, 0.632579651, 41.48, -1.32, 0.70221328, grupo4
26.59, 0.81975, 0.338509317, 24.8, 5.09, 0.244604317, 44.76, 1.96, 0.042253521, grupo2
25.51, -0.26025, 0.450310559, 29.56, 9.85, 0, 43.12, 0.32, 0.3722334, grupo2
24.25, -1.52025, 0.580745342, 12.88, -6.83, 0.857142857, 40.44, -2.36, 0.911468813, grupo4
27.56, 1.78975, 0.238095238, 28.14, 8.43, 0.072970195, 42.52, -0.28, 0.492957746, grupo2
23.92, -1.85025, 0.614906832, 21.02, 1.31, 0.438848921, 44.97, 2.17, 0, grupo2
20.2, -5.57025, 1, 10.97, -8.74, 0.955292909, 43.45, 0.65, 0.30583501, grupo3
29.86, 4.08975, 0, 28.09, 8.38, 0.075539568, 40.41, -2.39, 0.91750503, grupo1
27.34, 1.56975, 0.260869565, 18, -1.71, 0.594039054, 41.81, -0.99, 0.635814889, grupo4
23.79, -1.98025, 0.628364389, 16.85, -2.86, 0.653134635, 40.7, -2.1, 0.85915493, grupo4
21.9, -3.87025, 0.824016563, 14.86, -4.85, 0.755395683, 43.71, 0.91, 0.253521127, grupo3
22.92, -2.85025, 0.718426501, 24.81, 5.1, 0.244090442, 44.37, 1.57, 0.120724346, grupo2
25.59, -0.18025, 0.442028986, 27.9, 8.19, 0.085303186, 40.46, -2.34, 0.907444668, grupo2
29.67, 3.89975, 0.019668737, 28.73, 9.02, 0.042651593, 42.81, 0.01, 0.434607646, grupo1
20.89, -4.88025, 0.928571429, 23.93, 4.22, 0.289311408, 44.88, 2.08, 0.018108652, grupo2
25.94, 0.16975, 0.405797101, 18.94, -0.77, 0.545734841, 41.04, -1.76, 0.790744467, grupo4
22.64, -3.13025, 0.747412008, 25.26, 5.55, 0.220966084, 43.93, 1.13, 0.209255533, grupo2
28.75, 2.97975, 0.114906832, 18.29, -1.42, 0.579136691, 43.63, 0.83, 0.269617706, grupo1
25.07, -0.70025, 0.495859213, 11.63, -8.08, 0.921377184, 42.26, -0.54, 0.54527163, grupo4
27.7, 1.92975, 0.223602484, 20.69, 0.98, 0.455806783, 43.49, 0.69, 0.29778672, grupo3
29.5, 3.72975, 0.037267081, 14.29, -5.42, 0.784686536, 40.47, -2.33, 0.905432596, grupo1
29.45, 3.67975, 0.042443064, 19.93, 0.22, 0.494861254, 41.85, -0.95, 0.6277666, grupo1
22.65, -3.12025, 0.746376812, 19.87, 0.16, 0.497944502, 41.04, -1.76, 0.790744467, grupo4
29.72, 3.94975, 0.014492754, 24.97, 5.26, 0.235868448, 44.25, 1.45, 0.144869215, grupo1
29.25, 3.47975, 0.063146998, 15.16, -4.55, 0.739979445, 42.38, -0.42, 0.521126761, grupo1
28.71, 2.93975, 0.119047619, 14.52, -5.19, 0.77286742, 43.6, 0.8, 0.275653924, grupo3
21.76, -4.01025, 0.838509317, 25.94, 6.23, 0.18602261, 43.75, 0.95, 0.245472837, grupo2
29.82, 4.04975, 0.004140787, 26.46, 6.75, 0.159301131, 43.96, 1.16, 0.203219316, grupo1
23.58, -2.19025, 0.65010352, 18.45, -1.26, 0.570914697, 43.03, 0.23, 0.390342052, grupo4
28.48, 2.70975, 0.142857143, 16.36, -3.35, 0.678314491, 43.09, 0.29, 0.378269618, grupo3
27.01, 1.23975, 0.295031056, 16.98, -2.73, 0.646454265, 40.16, -2.64, 0.967806841, grupo4
21.54, -4.23025, 0.861283644, 14.28, -5.43, 0.785200411, 44.45, 1.65, 0.104627767, grupo3
25.93, 0.15975, 0.406832298, 14.16, -5.55, 0.791366906, 44.29, 1.49, 0.136820926, grupo3
24.54, -1.23025, 0.550724638, 21.15, 1.44, 0.432168551, 43.06, 0.26, 0.384305835, grupo2
29.56, 3.78975, 0.031055901, 23.82, 4.11, 0.294964029, 43.68, 0.88, 0.259557344, grupo1
