@relation 'Turma153_teste-weka.filters.unsupervised.attribute.Discretize-F-B3-M-1.0-R3,6,9-precision6-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute hardskills.API.nota numeric
@attribute hardskills.API.diferenca_absoluta_media numeric
@attribute hardskills.API.gap {'\'(-inf-0.306201]\'','\'(0.306201-0.706118]\'','\'(0.706118-inf)\''}
@attribute hardskills.REST.nota numeric
@attribute hardskills.REST.diferenca_absoluta_media numeric
@attribute hardskills.REST.gap {'\'(-inf-0.477341]\'','\'(0.477341-0.628491]\'','\'(0.628491-inf)\''}
@attribute hardskills.Firebase.nota numeric
@attribute hardskills.Firebase.diferenca_absoluta_media numeric
@attribute hardskills.Firebase.gap {'\'(-inf-0.400174]\'','\'(0.400174-0.729541]\'','\'(0.729541-inf)\''}
@attribute class_grupo {grupo1,grupo2,grupo3,grupo4}

@data
0.094896,0.094896,'\'(0.706118-inf)\'',0.396632,0.396632,'\'(0.477341-0.628491]\'',0.278003,0.278003,'\'(0.400174-0.729541]\'',grupo4
0.10692,0.10692,'\'(0.706118-inf)\'',0.545318,0.545318,'\'(-inf-0.477341]\'',0.198491,0.198491,'\'(0.729541-inf)\'',grupo1
0.124484,0.124484,'\'(0.706118-inf)\'',0.582831,0.582831,'\'(-inf-0.477341]\'',0.43993,0.43993,'\'(0.400174-0.729541]\'',grupo1
0.200047,0.200047,'\'(0.706118-inf)\'',0.27615,0.27615,'\'(0.628491-inf)\'',0.283227,0.283227,'\'(0.400174-0.729541]\'',grupo4
0.253094,0.253094,'\'(0.706118-inf)\'',0.09132,0.09132,'\'(0.628491-inf)\'',0.311666,0.311666,'\'(0.400174-0.729541]\'',grupo4
0.271013,0.271013,'\'(0.706118-inf)\'',0.563527,0.563527,'\'(-inf-0.477341]\'',0.459663,0.459663,'\'(0.400174-0.729541]\'',grupo1
0,0,'\'(0.706118-inf)\'',0.65512,0.65512,'\'(-inf-0.477341]\'',0.084736,0.084736,'\'(0.729541-inf)\'',grupo1
0.316751,0.316751,'\'(0.306201-0.706118]\'',1,1,'\'(-inf-0.477341]\'',0.183981,0.183981,'\'(0.729541-inf)\'',grupo4
0.438996,0.438996,'\'(0.306201-0.706118]\'',0.759036,0.759036,'\'(-inf-0.477341]\'',0.382472,0.382472,'\'(0.400174-0.729541]\'',grupo4
0.020276,0.020276,'\'(0.706118-inf)\'',0.519031,0.519031,'\'(0.477341-0.628491]\'',0.496808,0.496808,'\'(0.400174-0.729541]\'',grupo1
0.021219,0.021219,'\'(0.706118-inf)\'',0.312158,0.312158,'\'(0.628491-inf)\'',0.856065,0.856065,'\'(-inf-0.400174]\'',grupo3
